title,year,journal,authors,doi,url,source,collected_at
Discussion,2005,Journal of Craniofacial Surgery,Barry Eppley,10.1097/01.scs.0000171960.09240.b8,https://doi.org/10.1097/01.scs.0000171960.09240.b8,crossref,2025-10-09T13:42:41+00:00
Re: Outer Table Craniotomy for Frontal Sinus Mucocele.,2004,Journal of Craniofacial Surgery,Barry Eppley,10.1097/00001665-200409000-00034,https://doi.org/10.1097/00001665-200409000-00034,crossref,2025-10-09T13:42:41+00:00
Mandibular Angle Implants,2019,Facial Plastic Surgery,Barry Eppley,10.1055/s-0039-1683866,https://doi.org/10.1055/s-0039-1683866,crossref,2025-10-09T13:42:41+00:00
Discussion,2005,Journal of Craniofacial Surgery,Barry Eppley,10.1097/01.scs.0000180562.68362.56,https://doi.org/10.1097/01.scs.0000180562.68362.56,crossref,2025-10-09T13:42:41+00:00
"Intracapsular Allogenic Dermal Grafts for Breast Implant-Related Problems; Richard A. Baxter, M.D.",2003,Plastic and Reconstructive Surgery,Barry Eppley,10.1097/01.prs.0000086366.51015.ee,https://doi.org/10.1097/01.prs.0000086366.51015.ee,crossref,2025-10-09T13:42:41+00:00
Discussion,2003,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/01.prs.0000038115.77278.6e,https://doi.org/10.1097/01.prs.0000038115.77278.6e,crossref,2025-10-09T13:42:41+00:00
Hyaluron is Essential for the Expansion of Cranial Base Growth Plates,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200109000-00023,https://doi.org/10.1097/00001665-200109000-00023,crossref,2025-10-09T13:42:41+00:00
Potential problems with intranasal suspension wires,1986,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/s0278-2391(86)80045-3,https://doi.org/10.1016/s0278-2391(86)80045-3,crossref,2025-10-09T13:42:41+00:00
Preventing Postoperative Noise in Saline Breast Implants,1999,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-199906000-00027,https://doi.org/10.1097/00006534-199906000-00027,crossref,2025-10-09T13:42:41+00:00
Use of resorbable and screw fixation in pediatric craniofacial surgery,2002,Operative Techniques in Plastic and Reconstructive Surgery,Barry L. Eppley,10.1016/s1071-0949(03)90007-2,https://doi.org/10.1016/s1071-0949(03)90007-2,crossref,2025-10-09T13:42:41+00:00
Re: Producing a Full-Scale Model From Computed Tomographic Data with the Rapid Prototyping Technique Using the Binder Jet Method: A Comparison with the Laser Lithography Method Using a Dry Skull.,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00017,https://doi.org/10.1097/00001665-200101000-00017,crossref,2025-10-09T13:42:41+00:00
Alloplastic Implantation,1999,Plastic and Reconstructive Surgery,Barry L. Eppley,10.1097/00006534-199911000-00025,https://doi.org/10.1097/00006534-199911000-00025,crossref,2025-10-09T13:42:41+00:00
Chin Reshaping in Profileplasty: Augmentative and Reductive Strategies,2019,Facial Plastic Surgery,Barry L. Eppley,10.1055/s-0039-1695750,https://doi.org/10.1055/s-0039-1695750,crossref,2025-10-09T13:42:41+00:00
Commentary on Avoidance of Implicit Hazards,1999,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199901000-00009,https://doi.org/10.1097/00001665-199901000-00009,crossref,2025-10-09T13:42:41+00:00
Biomechanical Testing of Alloplastic PMMA Cranioplasty Materials,2005,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200501000-00028,https://doi.org/10.1097/00001665-200501000-00028,crossref,2025-10-09T13:42:41+00:00
Acceso quirúrgico,2005,Traumatismos maxilofaciales y reconstrucción facial estética,Barry L. Eppley,10.1016/b978-84-8174-836-9.50009-2,https://doi.org/10.1016/b978-84-8174-836-9.50009-2,crossref,2025-10-09T13:42:41+00:00
The Role of Latency in Mandibular Osteodistraction,1999,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199905000-00019,https://doi.org/10.1097/00001665-199905000-00019,crossref,2025-10-09T13:42:41+00:00
Discussion,2001,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1053/joms.2001.27500,https://doi.org/10.1053/joms.2001.27500,crossref,2025-10-09T13:42:41+00:00
Re: Closure of Critical Sized Defects with Allogeneic and Alloplastic Bone Substitutes.,2002,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200201000-00027,https://doi.org/10.1097/00001665-200201000-00027,crossref,2025-10-09T13:42:41+00:00
Effectiveness of Secondary Post-traumatic Periorbital Reconstruction,1996,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-199603000-00026,https://doi.org/10.1097/00001665-199603000-00026,crossref,2025-10-09T13:42:41+00:00
Alloplastic cranioplasty,2002,Operative Techniques in Plastic and Reconstructive Surgery,Barry L. Eppley,10.1016/s1071-0949(03)90004-7,https://doi.org/10.1016/s1071-0949(03)90004-7,crossref,2025-10-09T13:42:41+00:00
The authors reply,1993,Journal of Oral and Maxillofacial Surgery,Barry L. Eppley,10.1016/s0278-2391(10)80436-7,https://doi.org/10.1016/s0278-2391(10)80436-7,crossref,2025-10-09T13:42:41+00:00
Discussion,2005,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200501000-00025,https://doi.org/10.1097/00001665-200501000-00025,crossref,2025-10-09T13:42:41+00:00
Distraction Implants: A New Operative Technique for Alveolar Ridge Augmentation,2001,Journal of Craniofacial Surgery,Barry L. Eppley,10.1097/00001665-200101000-00021,https://doi.org/10.1097/00001665-200101000-00021,crossref,2025-10-09T13:42:41+00:00
Primary Repair of Facial Soft Tissue Injuries,2012,Maxillofacial Trauma and Esthetic Facial Reconstruction,Barry L. Eppley,10.1016/b978-1-4377-2420-2.00019-2,https://doi.org/10.1016/b978-1-4377-2420-2.00019-2,crossref,2025-10-09T13:42:41+00:00
