orcid,name,affiliation,country,url,source,collected_at
0000-0003-4832-9799,Jacqueline Barry,American Ornithological Society,,https://orcid.org/0000-0003-4832-9799,orcid,2025-10-09T13:42:58+00:00
0000-0002-3015-8330,Barry Clark,Armed Forces Communications and Electronics Association,,https://orcid.org/0000-0002-3015-8330,orcid,2025-10-09T13:42:58+00:00
0000-0002-7925-8033,K. L. Barry Fung,Natural Sciences and Engineering Research Council,,https://orcid.org/0000-0002-7925-8033,orcid,2025-10-09T13:42:58+00:00
0000-0002-2060-4800,Gina Depper,Clemson University,,https://orcid.org/0000-0002-2060-4800,orcid,2025-10-09T13:42:58+00:00
0000-0002-9542-6295,Barry Reno,Northern Territory Geological Survey,,https://orcid.org/0000-0002-9542-6295,orcid,2025-10-09T13:42:58+00:00
0009-0003-1509-0061,Barry Ford,Defence R&D Canada,,https://orcid.org/0009-0003-1509-0061,orcid,2025-10-09T13:42:58+00:00
0000-0002-3505-2244,Karen Eppley,American Educational Research Association,,https://orcid.org/0000-0002-3505-2244,orcid,2025-10-09T13:42:58+00:00
0000-0003-0398-3885,Eric Eppley,Capella University,,https://orcid.org/0000-0003-0398-3885,orcid,2025-10-09T13:42:58+00:00
0000-0002-7324-4706,Barry Bunn,The New Zealand Institute for Plant & Food Research Limited,,https://orcid.org/0000-0002-7324-4706,orcid,2025-10-09T13:42:58+00:00
0009-0000-7542-595X,Barry Greene,,,https://orcid.org/0009-0000-7542-595X,orcid,2025-10-09T13:42:58+00:00
0009-0003-9085-0227,Barry Sullivan,Loyola University Chicago,,https://orcid.org/0009-0003-9085-0227,orcid,2025-10-09T13:42:58+00:00
0009-0005-7992-0348,Barry de Groot,University of Groningen,,https://orcid.org/0009-0005-7992-0348,orcid,2025-10-09T13:42:59+00:00
0000-0001-7927-8360,BARRY CHARLWOOD,Editione Editoração Ltda,,https://orcid.org/0000-0001-7927-8360,orcid,2025-10-09T13:42:59+00:00
0000-0002-4360-5902,Barry L. Bentley,Cardiff Metropolitan University,,https://orcid.org/0000-0002-4360-5902,orcid,2025-10-09T13:42:59+00:00
0000-0001-9656-7404,Yolanda Garcia,Ollscoil na Gaillimhe – University of Galway,,https://orcid.org/0000-0001-9656-7404,orcid,2025-10-09T13:42:59+00:00
0000-0002-3733-8721,Johanna Barry,MRC Institute of Hearing Research,,https://orcid.org/0000-0002-3733-8721,orcid,2025-10-09T13:42:59+00:00
0009-0007-7215-2272,Barry L. Wixson Jr Bastion and Wixson,SELF,,https://orcid.org/0009-0007-7215-2272,orcid,2025-10-09T13:42:59+00:00
0009-0007-5042-1558,Simon Barry,Cork University Hospital,,https://orcid.org/0009-0007-5042-1558,orcid,2025-10-09T13:42:59+00:00
0000-0002-4343-8614,Catherine Barry-Ryan,Technological University Dublin,,https://orcid.org/0000-0002-4343-8614,orcid,2025-10-09T13:42:59+00:00
0000-0002-6536-4732,Amanda Eppley,Swarthmore College,,https://orcid.org/0000-0002-6536-4732,orcid,2025-10-09T13:43:00+00:00
0000-0001-6194-7685,Damian Barry,University of Melbourne,,https://orcid.org/0000-0001-6194-7685,orcid,2025-10-09T13:43:00+00:00
0000-0003-2301-853X,Madeline Eppley,Northeastern University,,https://orcid.org/0000-0003-2301-853X,orcid,2025-10-09T13:43:00+00:00
0000-0001-5808-8525,Charles Eppley,Max Planck Institute for the History of Science,,https://orcid.org/0000-0001-5808-8525,orcid,2025-10-09T13:43:00+00:00
0009-0003-8339-1747,FLONA REDWAY,Barry University,,https://orcid.org/0009-0003-8339-1747,orcid,2025-10-09T13:43:00+00:00
0000-0002-7156-4802,Barry Conn,Australasian Systematic Botany Society Inc,,https://orcid.org/0000-0002-7156-4802,orcid,2025-10-09T13:43:00+00:00
0000-0003-3905-392X,Barry Lau,,,https://orcid.org/0000-0003-3905-392X,orcid,2025-10-09T13:43:00+00:00
0009-0002-8074-7691,George Anthony Jackson,California Institute of Technology,,https://orcid.org/0009-0002-8074-7691,orcid,2025-10-09T13:43:00+00:00
0000-0003-2768-3633,Doles Jadotte,Barry University,,https://orcid.org/0000-0003-2768-3633,orcid,2025-10-09T13:43:01+00:00
0000-0002-1120-1284,Hilary Eppley,DePauw University,,https://orcid.org/0000-0002-1120-1284,orcid,2025-10-09T13:43:01+00:00
0000-0002-6767-5171,Jennifer Williams,Barry University,,https://orcid.org/0000-0002-6767-5171,orcid,2025-10-09T13:43:01+00:00
0000-0001-8462-1856,Gloria L. Schaab,Barry University,,https://orcid.org/0000-0001-8462-1856,orcid,2025-10-09T13:43:01+00:00
0009-0005-5186-6917,Vinicius L Ribeiro,Barry University,,https://orcid.org/0009-0005-5186-6917,orcid,2025-10-09T13:43:01+00:00
0000-0003-1456-6948,Timothy Eppley,Michigan State University,,https://orcid.org/0000-0003-1456-6948,orcid,2025-10-09T13:43:01+00:00
0000-0002-2920-9751,Tina Kinsella,Dun Laoghaire Institute of Art Design and Technology,,https://orcid.org/0000-0002-2920-9751,orcid,2025-10-09T13:43:01+00:00
0000-0001-6537-3420,Barry Torch,York University,,https://orcid.org/0000-0001-6537-3420,orcid,2025-10-09T13:43:01+00:00
0000-0001-7374-1924,Barry Cherkas,American Mathematical Society,,https://orcid.org/0000-0001-7374-1924,orcid,2025-10-09T13:43:01+00:00
0000-0001-6853-6838,Tiffany Barry,,,https://orcid.org/0000-0001-6853-6838,orcid,2025-10-09T13:43:01+00:00
0000-0002-3954-7703,Barry L Jackson,,,https://orcid.org/0000-0002-3954-7703,orcid,2025-10-09T13:43:01+00:00
0009-0002-6306-2850,Alexa L. Wright,The Barry Goldwater Scholarship Foundation,,https://orcid.org/0009-0002-6306-2850,orcid,2025-10-09T13:43:02+00:00
0000-0001-7820-9136,Sarah Eppley,California Pacific Medical Center,,https://orcid.org/0000-0001-7820-9136,orcid,2025-10-09T13:43:02+00:00
0000-0002-4533-0084,Barry Trentham,,,https://orcid.org/0000-0002-4533-0084,orcid,2025-10-09T13:43:02+00:00
